,tiempo,U,Y
103,20.228410871483828,1.9958245961298373,6.883869115015364
104,20.424803210041922,1.996068259001017,7.0266250998006585
105,20.621195548600017,1.9962975694839198,7.029016015744932
106,20.817587887158112,1.9965133898014245,6.899082575306333
107,21.013980225716207,1.9967165333789778,6.982359873190452
108,21.210372564274305,1.9969077658747882,6.92459023207606
109,21.4067649028324,1.9970878065486246,6.9494624960800575
110,21.603157241390495,1.9972573299453036,6.935677938308175
111,21.79954957994859,1.9974169678491667,6.983549377148618
112,21.995941918506684,1.997567311453051,7.190782520487439
113,22.19233425706478,1.9977089136787034,6.911616889881491
114,22.388726595622877,1.9978422915842853,6.955688011201793
115,22.585118934180972,1.9979679287975474,6.822234599240916
